candidate_id,name,category,status,marco,hypothesis,baseline,metrics,benchmark_type,benchmark,required_configuration,expected_runtime_use,cost_to_measure,latency_to_measure,risks_to_measure,gate,evidence_generated,promotion_criteria,rejection_criteria,removal_criteria,substitute_candidate,substitute_reason
8-1-runtime-core__fastapi,FastAPI,8.1 Runtime core,REJECTED_BY_EVIDENCE,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether FastAPI improves final product output.,TBD_BY_BASELINE,"[""local_readiness"", ""latency_ms"", ""cost"", ""risk_score""]",LOCAL_READINESS,scripts/run_benchmark.py --suite runtime-core,.env.example and project manifests,active_product_runtime,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,local benchmark passes and runtime evidence is recorded,No module named 'sqlalchemy',remove from runtime if no active product use remains,,
8-1-runtime-core__postgresql,PostgreSQL,8.1 Runtime core,BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether PostgreSQL improves final product output.,TBD_BY_BASELINE,"[""local_readiness"", ""latency_ms"", ""cost"", ""risk_score""]",LOCAL_READINESS,scripts/run_benchmark.py,.env.example and project manifests,active_product_runtime,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,local benchmark fails or component is unused,remove from runtime if no active product use remains,,
8-1-runtime-core__alembic,Alembic,8.1 Runtime core,BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether Alembic improves final product output.,TBD_BY_BASELINE,"[""local_readiness"", ""latency_ms"", ""cost"", ""risk_score""]",LOCAL_READINESS,scripts/run_benchmark.py,.env.example and project manifests,active_product_runtime,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,local benchmark fails or component is unused,remove from runtime if no active product use remains,,
8-1-runtime-core__sqlalchemy,SQLAlchemy,8.1 Runtime core,REJECTED_BY_EVIDENCE,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether SQLAlchemy improves final product output.,TBD_BY_BASELINE,"[""local_readiness"", ""latency_ms"", ""cost"", ""risk_score""]",LOCAL_READINESS,scripts/run_benchmark.py --suite runtime-core,.env.example and project manifests,active_product_runtime,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,local benchmark passes and runtime evidence is recorded,No module named 'sqlalchemy',remove from runtime if no active product use remains,,
8-1-runtime-core__qdrant,Qdrant,8.1 Runtime core,BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether Qdrant improves final product output.,TBD_BY_BASELINE,"[""local_readiness"", ""latency_ms"", ""cost"", ""risk_score""]",LOCAL_READINESS,scripts/run_benchmark.py,.env.example and project manifests,active_product_runtime,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,local benchmark fails or component is unused,remove from runtime if no active product use remains,,
8-1-runtime-core__react,React,8.1 Runtime core,BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether React improves final product output.,TBD_BY_BASELINE,"[""local_readiness"", ""latency_ms"", ""cost"", ""risk_score""]",LOCAL_READINESS,scripts/run_benchmark.py,.env.example and project manifests,active_product_runtime,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,local benchmark fails or component is unused,remove from runtime if no active product use remains,,
8-1-runtime-core__typescript,TypeScript,8.1 Runtime core,BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether TypeScript improves final product output.,TBD_BY_BASELINE,"[""local_readiness"", ""latency_ms"", ""cost"", ""risk_score""]",LOCAL_READINESS,scripts/run_benchmark.py,.env.example and project manifests,active_product_runtime,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,local benchmark fails or component is unused,remove from runtime if no active product use remains,,
8-1-runtime-core__vite,Vite,8.1 Runtime core,BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether Vite improves final product output.,TBD_BY_BASELINE,"[""local_readiness"", ""latency_ms"", ""cost"", ""risk_score""]",LOCAL_READINESS,scripts/run_benchmark.py,.env.example and project manifests,active_product_runtime,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,local benchmark fails or component is unused,remove from runtime if no active product use remains,,
8-1-runtime-core__docker-compose,Docker Compose,8.1 Runtime core,BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether Docker Compose improves final product output.,TBD_BY_BASELINE,"[""local_readiness"", ""latency_ms"", ""cost"", ""risk_score""]",LOCAL_READINESS,scripts/run_benchmark.py,.env.example and project manifests,active_product_runtime,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,local benchmark fails or component is unused,remove from runtime if no active product use remains,,
8-2-data-layer-storage-versioning-and-governance__dvc,DVC,"8.2 Data layer, storage, versioning and governance",BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether DVC improves final product output.,TBD_BY_BASELINE,"[""TBD_BY_BENCHMARK""]",LOCAL_READINESS,scripts/run_benchmark.py,TBD_BY_CONFIGURATION_REVIEW,TBD_BY_RUNTIME_REVIEW,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,TBD_BY_BENCHMARK,TBD_BY_REPOSITORY_CLEANLINESS,,
