candidate_id,name,category,status,marco,hypothesis,baseline,metrics,benchmark_type,benchmark,required_configuration,expected_runtime_use,cost_to_measure,latency_to_measure,risks_to_measure,gate,evidence_generated,promotion_criteria,rejection_criteria,removal_criteria,substitute_candidate,substitute_reason,final_filter_action,final_filter_reason,cost_policy,allowed_runtime_mode,canonical_technique_name,duplicate_group_id,duplicate_role,technique_family,architecture_tags,risk_coverage_tags,output_improvement_axes,free_self_hosted_verification,license_or_standard,paid_dependency_risk,external_dependency,runtime_eval_governance_role,mutual_exclusivity_group,mutual_exclusivity_reason,final_deduplication_policy,final_duplicate_status,merged_duplicate_candidate_ids,merged_duplicate_names,complementarity_policy,complementarity_family_peers,retention_decision,retention_reason,source_or_reference,maximal_addition_batch,maximal_addition_reason
8-1-runtime-core__react,React,8.1 Runtime core,BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether React improves final product output.,TBD_BY_BASELINE,"[""local_readiness"", ""latency_ms"", ""cost"", ""risk_score""]",LOCAL_READINESS,scripts/run_benchmark.py,.env.example and project manifests,active_product_runtime,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,local benchmark fails or component is unused,remove from runtime if no active product use remains,,,KEEP,kept: directly improves final output/objective and passes zero-paid dependency rule,FREE_ONLY_OR_SELF_HOSTED; paid tiers/overages disabled,allowed: free/open-source/local implementation or non-vendor method; paid plans must not be required,React,dup_react_frontend_framework,canonical,Frontend Application Framework,Supporting infrastructure,not primary risk control,auditabilidade;completude,PASS_BY_FREE_ONLY_FILTER; verify exact license/model terms before implementation; paid SaaS disabled,MIT,FREE_ONLY_OR_SELF_HOSTED; paid tiers/overages disabled,frontend_npm_dependency,runtime_candidate,frontend_stack,Alternative frontend frameworks; React is not equivalent to ReAct agent pattern.,merge_only_true_duplicates_same_canonical_technique_or_same_tool_alias; keep complementary_methods_even_when_same_family_or_same_goal,unique_canonical_or_true_duplicate_only,8-1-runtime-core__react,React,case_sensitive_canonical_names; React frontend framework and ReAct agent pattern are distinct and complementary,Vite; TypeScript; UI/Frontend runtime peers,keep_in_final_single_csv,React is a frontend framework. It was incorrectly merged with ReAct due case-insensitive alias matching and is now separated.,original_catalog,base_complementary_deduped_catalog,retained as frontend runtime candidate; separated from ReAct agent technique
8-agentic-rag__react_reasoning_acting_agent_loop,ReAct,Agentic RAG / Tool-Using Agents,RESEARCHED,Marco TBD_BY_ROADMAP_MAPPING,"ReAct improves final output by interleaving reasoning steps with tool actions and observations, enabling iterative source lookup, document navigation, verification, and recovery from weak evidence.",direct generation or single-shot tool call without interleaved reasoning/action loop,"[""tool_call_success_rate"", ""trajectory_success"", ""groundedness"", ""unsupported_claim_rate"", ""answerability_score"", ""tool_misuse_rate""]",AGENT_TRAJECTORY_AND_GROUNDEDNESS_EVAL,agent trajectory eval + groundedness/claim verification eval,tool registry; tool schemas; observation schema; policy guardrails; audit logging,"agentic research runtime for retrieval, document navigation, verification, and calculation tools",local compute/token cost only; no paid SaaS required,not blocking per project policy; measure for observability only,tool misuse; hallucination propagation; retrieval misalignment; unsupported claims,agent_tool_policy_and_groundedness_gate,agent trajectory traces; tool-call audit ledger; claim-evidence matrix; final answer eval,kept as canonical agent pattern; runtime use allowed when tool registry and guardrails exist,do not use for tasks that require no tools or where fixed workflow is safer,remove only if replaced by a strictly more explicit reasoning-action agent policy while preserving equivalent capabilities,plan-and-execute; tool-calling agent; hierarchical retrieval interface,"Related but not equivalent; ReAct specifically interleaves reasoning, actions, and observations.",KEEP,kept: foundational free technique that directly improves agentic retrieval/tool-use output quality,FREE_ONLY_OR_SELF_HOSTED; no paid dependency required,allowed: prompting/control pattern implemented locally with any free/self-hosted model and local tools,ReAct,dup_react_reasoning_acting_agent_loop,canonical,Reasoning-Acting Agent Loop,Agentic RAG;Modular RAG;Advanced RAG,hallucination;tool misuse;unsupported claims;retrieval poisoning;source conflict;memory poisoning,groundedness;completude;decisão final;cobertura de fontes;auditabilidade;redução de falha silenciosa,PASS_TECHNIQUE_ONLY; no license constraint for prompting pattern; implementation must use free/self-hosted model/tools,Technique/paper; implementation-dependent,none intrinsic; risk only if implemented through paid SaaS agent platform,external tools optional; can be local/self-hosted,runtime_candidate,agent_loop_pattern,Alternative or complementary to plan-and-execute and tool-calling agents; not equivalent to React frontend framework.,merge_only_true_duplicates_same_canonical_technique_or_same_tool_alias; keep complementary_methods_even_when_same_family_or_same_goal; case_sensitive_names_for_ReAct_vs_React,unique_canonical_or_true_duplicate_only,8-agentic-rag__react_reasoning_acting_agent_loop,ReAct,"retain_complementary_variants; same_family_does_not_mean_duplicate; ReAct complements retrieval planners, document-navigation agents, tool-calling, verification, and plan-and-execute",plan-and-execute; tool-calling agent; hierarchical retrieval interface; agentic document navigation; self-reflection; critic agent; planner-executor-verifier loop,keep_in_final_single_csv,"Foundational agent pattern: interleaves reasoning, tool actions, and observations; fixes missing basic technique and separates it from React frontend framework.",https://arxiv.org/abs/2210.03629; https://reference.langchain.com/python/langchain-classic/agents/react/agent/create_react_agent; https://developers.llamaindex.ai/python/examples/agent/react_agent/,react_repair_core_agent_pattern,Added after QA identified missing/falsely merged foundational ReAct agent technique.
8-1-runtime-core__alembic,Alembic,8.1 Runtime core,BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether Alembic improves final product output.,TBD_BY_BASELINE,"[""local_readiness"", ""latency_ms"", ""cost"", ""risk_score""]",LOCAL_READINESS,scripts/run_benchmark.py,.env.example and project manifests,active_product_runtime,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,local benchmark fails or component is unused,remove from runtime if no active product use remains,,,KEEP,kept: directly improves final output/objective and passes zero-paid dependency rule,FREE_ONLY_OR_SELF_HOSTED; paid tiers/overages disabled,allowed: free/open-source/local implementation or non-vendor method; paid plans must not be required,Alembic,dup_alembic,canonical,Runtime/Data/Product Infrastructure,Supporting infrastructure,not primary risk control,auditabilidade,PASS_BY_FREE_ONLY_FILTER; verify exact license/model terms before implementation; paid SaaS disabled,MIT,FREE_ONLY_OR_SELF_HOSTED; paid tiers/overages disabled,local_library_or_pipeline_step,runtime_candidate,,,merge_only_true_duplicates_same_canonical_technique_or_same_tool_alias; keep complementary_methods_even_when_same_family_or_same_goal,unique_or_complementary_variant,,,retain_complementary_variants; same_family_does_not_mean_duplicate,CSV/TSV; Docker Compose; DuckDB; FastAPI; Great Expectations; Instructor; JSON; JSON Lines / NDJSON; JSON Schema constrained decoding; Outlines; Polars; PostgreSQL; Pydantic JSON Schema; Qdrant; SQLAlchemy; TypeScript; Vite; YAML; active error discovery; active learning; active learning by uncertainty; context diffing; context packer; context priority scoring; context registry; custom review UI; dataset curation with disagreement sampling; dbt; disagreement-based sampling; human feedback loop; human override governance; learning-to-rank from review data; prompt assembler; prompt registry; prompt snapshotting; token budgeter,keep_in_final_single_csv,Unique technique/tool or complementary implementation variant; retained because different methods can be combined or compared in a modular pipeline.,original_catalog,base_complementary_deduped_catalog,retained from governed complementary catalog
8-1-runtime-core__docker-compose,Docker Compose,8.1 Runtime core,BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether Docker Compose improves final product output.,TBD_BY_BASELINE,"[""local_readiness"", ""latency_ms"", ""cost"", ""risk_score""]",LOCAL_READINESS,scripts/run_benchmark.py,.env.example and project manifests,active_product_runtime,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,local benchmark fails or component is unused,remove from runtime if no active product use remains,,,KEEP,kept: directly improves final output/objective and passes zero-paid dependency rule,FREE_ONLY_OR_SELF_HOSTED; paid tiers/overages disabled,allowed: free/open-source/local implementation or non-vendor method; paid plans must not be required,Docker Compose,dup_docker_compose,canonical,Runtime/Data/Product Infrastructure,Supporting infrastructure,not primary risk control,auditabilidade,PASS_BY_FREE_ONLY_FILTER; verify exact license/model terms before implementation; paid SaaS disabled,Apache-2.0,FREE_ONLY_OR_SELF_HOSTED; paid tiers/overages disabled,self_hosted_service,runtime_candidate,,,merge_only_true_duplicates_same_canonical_technique_or_same_tool_alias; keep complementary_methods_even_when_same_family_or_same_goal,unique_or_complementary_variant,,,retain_complementary_variants; same_family_does_not_mean_duplicate,Alembic; CSV/TSV; DuckDB; FastAPI; Great Expectations; Instructor; JSON; JSON Lines / NDJSON; JSON Schema constrained decoding; Outlines; Polars; PostgreSQL; Pydantic JSON Schema; Qdrant; SQLAlchemy; TypeScript; Vite; YAML; active error discovery; active learning; active learning by uncertainty; context diffing; context packer; context priority scoring; context registry; custom review UI; dataset curation with disagreement sampling; dbt; disagreement-based sampling; human feedback loop; human override governance; learning-to-rank from review data; prompt assembler; prompt registry; prompt snapshotting; token budgeter,keep_in_final_single_csv,Unique technique/tool or complementary implementation variant; retained because different methods can be combined or compared in a modular pipeline.,original_catalog,base_complementary_deduped_catalog,retained from governed complementary catalog
8-1-runtime-core__fastapi,FastAPI,8.1 Runtime core,BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether FastAPI improves final product output.,TBD_BY_BASELINE,"[""local_readiness"", ""latency_ms"", ""cost"", ""risk_score""]",LOCAL_READINESS,scripts/run_benchmark.py,.env.example and project manifests,active_product_runtime,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,local benchmark fails or component is unused,remove from runtime if no active product use remains,,,KEEP,kept: directly improves final output/objective and passes zero-paid dependency rule,FREE_ONLY_OR_SELF_HOSTED; paid tiers/overages disabled,allowed: free/open-source/local implementation or non-vendor method; paid plans must not be required,FastAPI,dup_fastapi,canonical,Runtime/Data/Product Infrastructure,Supporting infrastructure,not primary risk control,auditabilidade,PASS_BY_FREE_ONLY_FILTER; verify exact license/model terms before implementation; paid SaaS disabled,MIT,FREE_ONLY_OR_SELF_HOSTED; paid tiers/overages disabled,self_hosted_service,runtime_candidate,,,merge_only_true_duplicates_same_canonical_technique_or_same_tool_alias; keep complementary_methods_even_when_same_family_or_same_goal,unique_or_complementary_variant,,,retain_complementary_variants; same_family_does_not_mean_duplicate,Alembic; CSV/TSV; Docker Compose; DuckDB; Great Expectations; Instructor; JSON; JSON Lines / NDJSON; JSON Schema constrained decoding; Outlines; Polars; PostgreSQL; Pydantic JSON Schema; Qdrant; SQLAlchemy; TypeScript; Vite; YAML; active error discovery; active learning; active learning by uncertainty; context diffing; context packer; context priority scoring; context registry; custom review UI; dataset curation with disagreement sampling; dbt; disagreement-based sampling; human feedback loop; human override governance; learning-to-rank from review data; prompt assembler; prompt registry; prompt snapshotting; token budgeter,keep_in_final_single_csv,Unique technique/tool or complementary implementation variant; retained because different methods can be combined or compared in a modular pipeline.,original_catalog,base_complementary_deduped_catalog,retained from governed complementary catalog
8-1-runtime-core__postgresql,PostgreSQL,8.1 Runtime core,BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether PostgreSQL improves final product output.,TBD_BY_BASELINE,"[""local_readiness"", ""latency_ms"", ""cost"", ""risk_score""]",LOCAL_READINESS,scripts/run_benchmark.py,.env.example and project manifests,active_product_runtime,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,local benchmark fails or component is unused,remove from runtime if no active product use remains,,,KEEP,kept: directly improves final output/objective and passes zero-paid dependency rule,FREE_ONLY_OR_SELF_HOSTED; paid tiers/overages disabled,allowed: free/open-source/local implementation or non-vendor method; paid plans must not be required,PostgreSQL,dup_postgresql,canonical,Runtime/Data/Product Infrastructure,Supporting infrastructure,not primary risk control,auditabilidade,PASS_BY_FREE_ONLY_FILTER; verify exact license/model terms before implementation; paid SaaS disabled,PostgreSQL License,FREE_ONLY_OR_SELF_HOSTED; paid tiers/overages disabled,self_hosted_service,runtime_candidate,retrieval_backend_or_strategy,alternative choices in same group; do not implement all unless each has a distinct output role,merge_only_true_duplicates_same_canonical_technique_or_same_tool_alias; keep complementary_methods_even_when_same_family_or_same_goal,unique_or_complementary_variant,,,retain_complementary_variants; same_family_does_not_mean_duplicate,Alembic; CSV/TSV; Docker Compose; DuckDB; FastAPI; Great Expectations; Instructor; JSON; JSON Lines / NDJSON; JSON Schema constrained decoding; Outlines; Polars; Pydantic JSON Schema; Qdrant; SQLAlchemy; TypeScript; Vite; YAML; active error discovery; active learning; active learning by uncertainty; context diffing; context packer; context priority scoring; context registry; custom review UI; dataset curation with disagreement sampling; dbt; disagreement-based sampling; human feedback loop; human override governance; learning-to-rank from review data; prompt assembler; prompt registry; prompt snapshotting; token budgeter,keep_in_final_single_csv,Unique technique/tool or complementary implementation variant; retained because different methods can be combined or compared in a modular pipeline.,original_catalog,base_complementary_deduped_catalog,retained from governed complementary catalog
8-1-runtime-core__qdrant,Qdrant,8.1 Runtime core,BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether Qdrant improves final product output.,TBD_BY_BASELINE,"[""local_readiness"", ""latency_ms"", ""cost"", ""risk_score""]",LOCAL_READINESS,scripts/run_benchmark.py,.env.example and project manifests,active_product_runtime,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,local benchmark fails or component is unused,remove from runtime if no active product use remains,,,KEEP,kept: directly improves final output/objective and passes zero-paid dependency rule,FREE_ONLY_OR_SELF_HOSTED; paid tiers/overages disabled,allowed: free/open-source/local implementation or non-vendor method; paid plans must not be required,Qdrant vector database,dup_qdrant_vector_database,canonical,Runtime/Data/Product Infrastructure,Naive RAG,not primary risk control,auditabilidade; cobertura de fontes; factualidade,PASS_BY_FREE_ONLY_FILTER; verify exact license/model terms before implementation; paid SaaS disabled,Apache-2.0,FREE_ONLY_OR_SELF_HOSTED; paid tiers/overages disabled,self_hosted_service,runtime_candidate,retrieval_backend_or_strategy,alternative choices in same group; do not implement all unless each has a distinct output role,merge_only_true_duplicates_same_canonical_technique_or_same_tool_alias; keep complementary_methods_even_when_same_family_or_same_goal,merged_true_duplicate_same_canonical_technique,8-1-runtime-core__qdrant; 8-3-vector-search-retrieval__qdrant,Qdrant,retain_complementary_variants; same_family_does_not_mean_duplicate,Alembic; CSV/TSV; Docker Compose; DuckDB; FastAPI; Great Expectations; Instructor; JSON; JSON Lines / NDJSON; JSON Schema constrained decoding; Outlines; Polars; PostgreSQL; Pydantic JSON Schema; SQLAlchemy; TypeScript; Vite; YAML; active error discovery; active learning; active learning by uncertainty; context diffing; context packer; context priority scoring; context registry; custom review UI; dataset curation with disagreement sampling; dbt; disagreement-based sampling; human feedback loop; human override governance; learning-to-rank from review data; prompt assembler; prompt registry; prompt snapshotting; token budgeter,keep_in_final_single_csv,Canonical row retained; exact duplicate/alias rows merged into this row. Complementary techniques in the same family remain separate rows.,original_catalog,base_complementary_deduped_catalog,retained from governed complementary catalog
8-1-runtime-core__sqlalchemy,SQLAlchemy,8.1 Runtime core,BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether SQLAlchemy improves final product output.,TBD_BY_BASELINE,"[""local_readiness"", ""latency_ms"", ""cost"", ""risk_score""]",LOCAL_READINESS,scripts/run_benchmark.py,.env.example and project manifests,active_product_runtime,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,local benchmark fails or component is unused,remove from runtime if no active product use remains,,,KEEP,kept: directly improves final output/objective and passes zero-paid dependency rule,FREE_ONLY_OR_SELF_HOSTED; paid tiers/overages disabled,allowed: free/open-source/local implementation or non-vendor method; paid plans must not be required,SQLAlchemy,dup_sqlalchemy,canonical,Runtime/Data/Product Infrastructure,Supporting infrastructure,not primary risk control,auditabilidade,PASS_BY_FREE_ONLY_FILTER; verify exact license/model terms before implementation; paid SaaS disabled,MIT,FREE_ONLY_OR_SELF_HOSTED; paid tiers/overages disabled,local_library_or_pipeline_step,runtime_candidate,,,merge_only_true_duplicates_same_canonical_technique_or_same_tool_alias; keep complementary_methods_even_when_same_family_or_same_goal,unique_or_complementary_variant,,,retain_complementary_variants; same_family_does_not_mean_duplicate,Alembic; CSV/TSV; Docker Compose; DuckDB; FastAPI; Great Expectations; Instructor; JSON; JSON Lines / NDJSON; JSON Schema constrained decoding; Outlines; Polars; PostgreSQL; Pydantic JSON Schema; Qdrant; TypeScript; Vite; YAML; active error discovery; active learning; active learning by uncertainty; context diffing; context packer; context priority scoring; context registry; custom review UI; dataset curation with disagreement sampling; dbt; disagreement-based sampling; human feedback loop; human override governance; learning-to-rank from review data; prompt assembler; prompt registry; prompt snapshotting; token budgeter,keep_in_final_single_csv,Unique technique/tool or complementary implementation variant; retained because different methods can be combined or compared in a modular pipeline.,original_catalog,base_complementary_deduped_catalog,retained from governed complementary catalog
8-1-runtime-core__typescript,TypeScript,8.1 Runtime core,BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether TypeScript improves final product output.,TBD_BY_BASELINE,"[""local_readiness"", ""latency_ms"", ""cost"", ""risk_score""]",LOCAL_READINESS,scripts/run_benchmark.py,.env.example and project manifests,active_product_runtime,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,local benchmark fails or component is unused,remove from runtime if no active product use remains,,,KEEP,kept: directly improves final output/objective and passes zero-paid dependency rule,FREE_ONLY_OR_SELF_HOSTED; paid tiers/overages disabled,allowed: free/open-source/local implementation or non-vendor method; paid plans must not be required,TypeScript,dup_typescript,canonical,Runtime/Data/Product Infrastructure,Supporting infrastructure,not primary risk control,auditabilidade,PASS_BY_FREE_ONLY_FILTER; verify exact license/model terms before implementation; paid SaaS disabled,Apache-2.0,FREE_ONLY_OR_SELF_HOSTED; paid tiers/overages disabled,self_hosted_service,runtime_candidate,frontend_stack,alternative choices in same group; do not implement all unless each has a distinct output role,merge_only_true_duplicates_same_canonical_technique_or_same_tool_alias; keep complementary_methods_even_when_same_family_or_same_goal,unique_or_complementary_variant,,,retain_complementary_variants; same_family_does_not_mean_duplicate,Alembic; CSV/TSV; Docker Compose; DuckDB; FastAPI; Great Expectations; Instructor; JSON; JSON Lines / NDJSON; JSON Schema constrained decoding; Outlines; Polars; PostgreSQL; Pydantic JSON Schema; Qdrant; SQLAlchemy; Vite; YAML; active error discovery; active learning; active learning by uncertainty; context diffing; context packer; context priority scoring; context registry; custom review UI; dataset curation with disagreement sampling; dbt; disagreement-based sampling; human feedback loop; human override governance; learning-to-rank from review data; prompt assembler; prompt registry; prompt snapshotting; token budgeter,keep_in_final_single_csv,Unique technique/tool or complementary implementation variant; retained because different methods can be combined or compared in a modular pipeline.,original_catalog,base_complementary_deduped_catalog,retained from governed complementary catalog
8-1-runtime-core__vite,Vite,8.1 Runtime core,BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether Vite improves final product output.,TBD_BY_BASELINE,"[""local_readiness"", ""latency_ms"", ""cost"", ""risk_score""]",LOCAL_READINESS,scripts/run_benchmark.py,.env.example and project manifests,active_product_runtime,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,local benchmark fails or component is unused,remove from runtime if no active product use remains,,,KEEP,kept: directly improves final output/objective and passes zero-paid dependency rule,FREE_ONLY_OR_SELF_HOSTED; paid tiers/overages disabled,allowed: free/open-source/local implementation or non-vendor method; paid plans must not be required,Vite,dup_vite,canonical,Runtime/Data/Product Infrastructure,Supporting infrastructure,not primary risk control,auditabilidade,PASS_BY_FREE_ONLY_FILTER; verify exact license/model terms before implementation; paid SaaS disabled,MIT,FREE_ONLY_OR_SELF_HOSTED; paid tiers/overages disabled,self_hosted_service,runtime_candidate,frontend_stack,alternative choices in same group; do not implement all unless each has a distinct output role,merge_only_true_duplicates_same_canonical_technique_or_same_tool_alias; keep complementary_methods_even_when_same_family_or_same_goal,unique_or_complementary_variant,,,retain_complementary_variants; same_family_does_not_mean_duplicate,Alembic; CSV/TSV; Docker Compose; DuckDB; FastAPI; Great Expectations; Instructor; JSON; JSON Lines / NDJSON; JSON Schema constrained decoding; Outlines; Polars; PostgreSQL; Pydantic JSON Schema; Qdrant; SQLAlchemy; TypeScript; YAML; active error discovery; active learning; active learning by uncertainty; context diffing; context packer; context priority scoring; context registry; custom review UI; dataset curation with disagreement sampling; dbt; disagreement-based sampling; human feedback loop; human override governance; learning-to-rank from review data; prompt assembler; prompt registry; prompt snapshotting; token budgeter,keep_in_final_single_csv,Unique technique/tool or complementary implementation variant; retained because different methods can be combined or compared in a modular pipeline.,original_catalog,base_complementary_deduped_catalog,retained from governed complementary catalog
