candidate_id,name,category,free_to_use,requires_api_key,api_key_free_tier_available,setup_required,setup_documented,readiness_check_available,current_status,priority,baseline,benchmark_type,primary_metric,secondary_metrics,result_delta,latency_delta,cost_delta,security_risk_delta,maintenance_risk_delta,promotion_decision,decision_reason,evidence_file,runtime_integration_file,actively_used,review_date
8-15-security-guardrails-and-red-team__bandit,Bandit,"8.15 Security, guardrails and red team",true,false,not_required,true,true,true,BENCHMARKED,P0,TBD_BY_BASELINE,SECURITY,TBD_BY_BENCHMARK,latency_p95; cost_per_run; risk_delta,TBD_BY_DIRECT_BENCHMARK,TBD_BY_DIRECT_BENCHMARK,TBD_BY_DIRECT_BENCHMARK,TBD_BY_SECURITY_GATE,not_measured,benchmark_required,Direct output benchmark is required before promotion or rejection.,final_case_evidence/benchmark_results.jsonl,,false,2026-06-23
8-15-security-guardrails-and-red-team__context-firewall,Context Firewall,"8.15 Security, guardrails and red team",true,false,not_required,true,true,true,BENCHMARKED,P0,TBD_BY_BASELINE,SECURITY,TBD_BY_BENCHMARK,latency_p95; cost_per_run; risk_delta,TBD_BY_DIRECT_BENCHMARK,TBD_BY_DIRECT_BENCHMARK,TBD_BY_DIRECT_BENCHMARK,TBD_BY_SECURITY_GATE,not_measured,benchmark_required,Direct output benchmark is required before promotion or rejection.,final_case_evidence/benchmark_results.jsonl,,false,2026-06-23
8-15-security-guardrails-and-red-team__data-poisoning-detection,Data poisoning detection,"8.15 Security, guardrails and red team",true,false,not_required,true,true,true,BENCHMARKED,P0,TBD_BY_BASELINE,SECURITY,TBD_BY_BENCHMARK,latency_p95; cost_per_run; risk_delta,TBD_BY_DIRECT_BENCHMARK,TBD_BY_DIRECT_BENCHMARK,TBD_BY_DIRECT_BENCHMARK,TBD_BY_SECURITY_GATE,not_measured,benchmark_required,Direct output benchmark is required before promotion or rejection.,final_case_evidence/benchmark_results.jsonl,,false,2026-06-23
8-15-security-guardrails-and-red-team__dependabot,Dependabot,"8.15 Security, guardrails and red team",false,true,false,true,true,true,FUTURE_RESEARCH,P0,TBD_BY_BASELINE,PROXY,TBD_BY_EXTERNAL_BENCHMARK,latency_p95; cost_per_run; risk_delta,TBD_BY_DIRECT_BENCHMARK,TBD_BY_DIRECT_BENCHMARK,TBD_BY_DIRECT_BENCHMARK,TBD_BY_SECURITY_GATE,TBD_BY_DIRECT_BENCHMARK,future_research,Kept outside runtime until free/configurable access and direct benchmark evidence exist.,final_case_evidence/benchmark_results.jsonl,,false,2026-06-23
8-15-security-guardrails-and-red-team__garak,Garak,"8.15 Security, guardrails and red team",true,false,not_required,true,true,true,BENCHMARKED,P0,TBD_BY_BASELINE,SECURITY,TBD_BY_BENCHMARK,latency_p95; cost_per_run; risk_delta,TBD_BY_DIRECT_BENCHMARK,TBD_BY_DIRECT_BENCHMARK,TBD_BY_DIRECT_BENCHMARK,TBD_BY_SECURITY_GATE,not_measured,benchmark_required,Direct output benchmark is required before promotion or rejection.,final_case_evidence/benchmark_results.jsonl,,false,2026-06-23
8-15-security-guardrails-and-red-team__giskard,Giskard,"8.15 Security, guardrails and red team",true,false,not_required,true,true,true,BENCHMARKED,P0,TBD_BY_BASELINE,SECURITY,TBD_BY_BENCHMARK,latency_p95; cost_per_run; risk_delta,TBD_BY_DIRECT_BENCHMARK,TBD_BY_DIRECT_BENCHMARK,TBD_BY_DIRECT_BENCHMARK,TBD_BY_SECURITY_GATE,not_measured,benchmark_required,Direct output benchmark is required before promotion or rejection.,final_case_evidence/benchmark_results.jsonl,,false,2026-06-23
8-15-security-guardrails-and-red-team__gitleaks,Gitleaks,"8.15 Security, guardrails and red team",true,false,not_required,true,true,true,BENCHMARKED,P0,TBD_BY_BASELINE,SECURITY,TBD_BY_BENCHMARK,latency_p95; cost_per_run; risk_delta,TBD_BY_DIRECT_BENCHMARK,TBD_BY_DIRECT_BENCHMARK,TBD_BY_DIRECT_BENCHMARK,TBD_BY_SECURITY_GATE,not_measured,benchmark_required,Direct output benchmark is required before promotion or rejection.,final_case_evidence/benchmark_results.jsonl,,false,2026-06-23
8-15-security-guardrails-and-red-team__grype,Grype,"8.15 Security, guardrails and red team",true,false,not_required,true,true,true,BENCHMARKED,P0,TBD_BY_BASELINE,SECURITY,TBD_BY_BENCHMARK,latency_p95; cost_per_run; risk_delta,TBD_BY_DIRECT_BENCHMARK,TBD_BY_DIRECT_BENCHMARK,TBD_BY_DIRECT_BENCHMARK,TBD_BY_SECURITY_GATE,not_measured,benchmark_required,Direct output benchmark is required before promotion or rejection.,final_case_evidence/benchmark_results.jsonl,,false,2026-06-23
8-15-security-guardrails-and-red-team__guardrails-ai,Guardrails AI,"8.15 Security, guardrails and red team",true,false,not_required,true,true,true,BENCHMARKED,P0,TBD_BY_BASELINE,SECURITY,TBD_BY_BENCHMARK,latency_p95; cost_per_run; risk_delta,TBD_BY_DIRECT_BENCHMARK,TBD_BY_DIRECT_BENCHMARK,TBD_BY_DIRECT_BENCHMARK,TBD_BY_SECURITY_GATE,not_measured,benchmark_required,Direct output benchmark is required before promotion or rejection.,final_case_evidence/benchmark_results.jsonl,,false,2026-06-23
8-15-security-guardrails-and-red-team__jailbreak-resistant-tool-policy,Jailbreak-resistant tool policy,"8.15 Security, guardrails and red team",true,false,not_required,true,true,true,BENCHMARKED,P0,TBD_BY_BASELINE,SECURITY,TBD_BY_BENCHMARK,latency_p95; cost_per_run; risk_delta,TBD_BY_DIRECT_BENCHMARK,TBD_BY_DIRECT_BENCHMARK,TBD_BY_DIRECT_BENCHMARK,TBD_BY_SECURITY_GATE,not_measured,benchmark_required,Direct output benchmark is required before promotion or rejection.,final_case_evidence/benchmark_results.jsonl,,false,2026-06-23
8-15-security-guardrails-and-red-team__llm-guard,LLM Guard,"8.15 Security, guardrails and red team",true,false,not_required,true,true,true,BENCHMARKED,P0,TBD_BY_BASELINE,SECURITY,TBD_BY_BENCHMARK,latency_p95; cost_per_run; risk_delta,TBD_BY_DIRECT_BENCHMARK,TBD_BY_DIRECT_BENCHMARK,TBD_BY_DIRECT_BENCHMARK,TBD_BY_SECURITY_GATE,not_measured,benchmark_required,Direct output benchmark is required before promotion or rejection.,final_case_evidence/benchmark_results.jsonl,,false,2026-06-23
8-15-security-guardrails-and-red-team__lakera-guard,Lakera Guard,"8.15 Security, guardrails and red team",false,true,false,true,true,true,FUTURE_RESEARCH,P0,TBD_BY_BASELINE,PROXY,TBD_BY_EXTERNAL_BENCHMARK,latency_p95; cost_per_run; risk_delta,TBD_BY_DIRECT_BENCHMARK,TBD_BY_DIRECT_BENCHMARK,TBD_BY_DIRECT_BENCHMARK,TBD_BY_SECURITY_GATE,TBD_BY_DIRECT_BENCHMARK,future_research,Kept outside runtime until free/configurable access and direct benchmark evidence exist.,final_case_evidence/benchmark_results.jsonl,,false,2026-06-23
8-15-security-guardrails-and-red-team__llama-guard,Llama Guard,"8.15 Security, guardrails and red team",true,false,not_required,true,true,true,BENCHMARKED,P0,TBD_BY_BASELINE,SECURITY,TBD_BY_BENCHMARK,latency_p95; cost_per_run; risk_delta,TBD_BY_DIRECT_BENCHMARK,TBD_BY_DIRECT_BENCHMARK,TBD_BY_DIRECT_BENCHMARK,TBD_BY_SECURITY_GATE,not_measured,benchmark_required,Direct output benchmark is required before promotion or rejection.,final_case_evidence/benchmark_results.jsonl,,false,2026-06-23
8-15-security-guardrails-and-red-team__nist-ai-rmf-mapping,NIST AI RMF mapping,"8.15 Security, guardrails and red team",true,false,not_required,true,true,true,BENCHMARKED,P0,TBD_BY_BASELINE,SECURITY,TBD_BY_BENCHMARK,latency_p95; cost_per_run; risk_delta,TBD_BY_DIRECT_BENCHMARK,TBD_BY_DIRECT_BENCHMARK,TBD_BY_DIRECT_BENCHMARK,TBD_BY_SECURITY_GATE,not_measured,benchmark_required,Direct output benchmark is required before promotion or rejection.,final_case_evidence/benchmark_results.jsonl,,false,2026-06-23
